avg_spread,deg_assortativity,visibility,deg_assortativity_str
48.4,0.3161257813793155,1.0,0.32 (original)
76.4,0.3161257813793155,3.0,0.32 (original)
102.6,0.3161257813793155,5.0,0.32 (original)
119.0,0.3161257813793155,7.000000000000001,0.32 (original)
117.6,0.3161257813793155,9.0,0.32 (original)
117.6,0.3161257813793155,11.0,0.32 (original)
92.6,0.3161257813793155,13.0,0.32 (original)
100.0,0.3161257813793155,15.0,0.32 (original)
91.4,0.3161257813793155,17.0,0.32 (original)
114.6,0.3161257813793155,19.0,0.32 (original)
112.0,0.3161257813793155,21.0,0.32 (original)
64.8,0.31415800630862767,1.0,0.31
86.6,0.31415800630862767,3.0,0.31
109.8,0.31415800630862767,5.0,0.31
119.6,0.31415800630862767,7.000000000000001,0.31
98.8,0.31415800630862767,9.0,0.31
112.2,0.31415800630862767,11.0,0.31
96.6,0.31415800630862767,13.0,0.31
108.0,0.31415800630862767,15.0,0.31
117.4,0.31415800630862767,17.0,0.31
114.8,0.31415800630862767,19.0,0.31
99.0,0.31415800630862767,21.0,0.31
57.2,0.30470454412546244,1.0,0.3
82.6,0.30470454412546244,3.0,0.3
105.2,0.30470454412546244,5.0,0.3
117.8,0.30470454412546244,7.000000000000001,0.3
158.0,0.30470454412546244,9.0,0.3
170.8,0.30470454412546244,11.0,0.3
146.0,0.30470454412546244,13.0,0.3
151.0,0.30470454412546244,15.0,0.3
188.4,0.30470454412546244,17.0,0.3
155.4,0.30470454412546244,19.0,0.3
168.6,0.30470454412546244,21.0,0.3
73.2,0.29149452454362434,1.0,0.29
123.8,0.29149452454362434,3.0,0.29
167.0,0.29149452454362434,5.0,0.29
148.0,0.29149452454362434,7.000000000000001,0.29
131.0,0.29149452454362434,9.0,0.29
184.2,0.29149452454362434,11.0,0.29
174.0,0.29149452454362434,13.0,0.29
150.0,0.29149452454362434,15.0,0.29
194.6,0.29149452454362434,17.0,0.29
133.8,0.29149452454362434,19.0,0.29
166.0,0.29149452454362434,21.0,0.29
61.0,0.2658703627802869,1.0,0.27
149.6,0.2658703627802869,3.0,0.27
219.8,0.2658703627802869,5.0,0.27
363.4,0.2658703627802869,7.000000000000001,0.27
233.4,0.2658703627802869,9.0,0.27
271.6,0.2658703627802869,11.0,0.27
219.6,0.2658703627802869,13.0,0.27
393.0,0.2658703627802869,15.0,0.27
297.8,0.2658703627802869,17.0,0.27
303.0,0.2658703627802869,19.0,0.27
279.4,0.2658703627802869,21.0,0.27
173.4,0.24220223503971702,1.0,0.24
284.2,0.24220223503971702,3.0,0.24
281.6,0.24220223503971702,5.0,0.24
212.4,0.24220223503971702,7.000000000000001,0.24
161.2,0.24220223503971702,9.0,0.24
310.4,0.24220223503971702,11.0,0.24
319.4,0.24220223503971702,13.0,0.24
285.6,0.24220223503971702,15.0,0.24
350.4,0.24220223503971702,17.0,0.24
258.2,0.24220223503971702,19.0,0.24
367.2,0.24220223503971702,21.0,0.24
126.8,0.21510622088489068,1.0,0.22
287.0,0.21510622088489068,3.0,0.22
333.0,0.21510622088489068,5.0,0.22
391.2,0.21510622088489068,7.000000000000001,0.22
417.6,0.21510622088489068,9.0,0.22
333.0,0.21510622088489068,11.0,0.22
428.8,0.21510622088489068,13.0,0.22
435.8,0.21510622088489068,15.0,0.22
307.6,0.21510622088489068,17.0,0.22
588.0,0.21510622088489068,19.0,0.22
383.0,0.21510622088489068,21.0,0.22
352.4,0.19562828594377785,1.0,0.2
447.2,0.19562828594377785,3.0,0.2
296.2,0.19562828594377785,5.0,0.2
285.8,0.19562828594377785,7.000000000000001,0.2
485.6,0.19562828594377785,9.0,0.2
463.6,0.19562828594377785,11.0,0.2
400.0,0.19562828594377785,13.0,0.2
503.4,0.19562828594377785,15.0,0.2
474.4,0.19562828594377785,17.0,0.2
539.8,0.19562828594377785,19.0,0.2
479.8,0.19562828594377785,21.0,0.2
160.6,0.16414125318627096,1.0,0.16
437.0,0.16414125318627096,3.0,0.16
330.2,0.16414125318627096,5.0,0.16
661.6,0.16414125318627096,7.000000000000001,0.16
770.2,0.16414125318627096,9.0,0.16
402.8,0.16414125318627096,11.0,0.16
548.2,0.16414125318627096,13.0,0.16
675.0,0.16414125318627096,15.0,0.16
701.0,0.16414125318627096,17.0,0.16
514.6,0.16414125318627096,19.0,0.16
746.2,0.16414125318627096,21.0,0.16
345.8,0.15007544300779938,1.0,0.15
630.6,0.15007544300779938,3.0,0.15
381.0,0.15007544300779938,5.0,0.15
454.4,0.15007544300779938,7.000000000000001,0.15
607.0,0.15007544300779938,9.0,0.15
442.8,0.15007544300779938,11.0,0.15
588.6,0.15007544300779938,13.0,0.15
677.6,0.15007544300779938,15.0,0.15
578.4,0.15007544300779938,17.0,0.15
765.0,0.15007544300779938,19.0,0.15
718.8,0.15007544300779938,21.0,0.15
